Name,Phone,Category,Locality,City,Address,Website
Anil Sinha Green Real Estate Developers,,Real estate agent,C/o Anil Kumar Sinha," Patna, Bihar","C/o Anil Kumar Sinha, 13, Main Road, Bhupatipur, Ram Krishna Nagar, Sampatchak, Patna, Bihar 800027",
HOMES INDIA ENTERPRISES,070705 65272,Real estate agent,G4VQ+5RJ," Fazlabad, Bihar","G4VQ+5RJ, Fazlabad, Bihar 804453",http://www.patnaplots.in/
Bhawani Infracon,077810 20952,Real estate service,303," Patna, Bihar","303, Avkash Residency, Patna Sadar, Chajju Bagh, Patna, Bihar 800001",https://bhawaniinfracon.com/
Vibhas BuildTech India Private Limited,062879 99980,Home developer,403,,"403, 4th Floor, Hira Enclave, New Dakbanglow Road, Patna 800001",https://vibhasbuildtech.com/
Huffaz Buildtech Private Limited,095043 51786,Home developer,Haroon Nagar," Patna, Bihar","Haroon Nagar, Patna, Bihar 801505",https://shitalbuildtech.com/
Mama Bhanjha Real Estate's,070508 08947,Real estate agent,90Feet," Patna, Bihar","90Feet, Vijay Nagar, ATF-7, Hanuman Nagar, Opp Bank Of Baroda, Veena Market, Patna, Bihar 800020",
Jagdamba Properties,093084 53288,Property management,Khemani Chowk Main Road," Patna, Bihar","Khemani Chowk Main Road, East Lakshmi Nagar, Ramkrishna Nagar, Patna, Bihar 800027",
Vikash Real Estate,,Real estate agent,New Puri Chitragupt," Patna, Bihar","New Puri Chitragupt, Kankarbagh, Road No 01, Patna, Bihar 800020",
Jagdamba Property Dealers,093084 55288,Real estate agent,Khemnichak Road," Patna, Bihar","Khemnichak Road, Patna, Bihar 800027",
Aayansh Real Estate,,Real estate service,H/O SRI Deepak Kumar," Patna, Bihar","H/O SRI Deepak Kumar, Indralok Nagar, Near Gonika Rolling Mill, Patna, Bihar 800026",
Shakuntala Real Estate,,Home developer,Shakuntala Real Esta," Patna, Bihar","Shakuntala Real Esta, Tej Narayan Complex, Sector 8, Bh Colony, Bahadurpur, Patna, Bihar 800026",
Volt India Real Estate Developers,,Real estate service,4h-59," Patna, Bihar","4h-59, Bhootnath Road, Near Hanuman Mandir B.h.Colony Sampatchak, Patna, Bihar 800026",
Real Green Homes Private Limited,,Real estate service,J46J+729," Patna, Bihar","J46J+729, Bindeshwari Chandra Plaza, Near Income Tax Chauraha, Golambar, Kidwaipuri, Patna, Bihar",
Vaishali Realhomes,094312 95040,Real estate service,Kachhuara Road," New Patna Colony, Bihar","Kachhuara Road, Bairiya, New Patna Colony, Bihar, Bihar 800007",https://www.facebook.com/people/%E0%A4%B5%E0%A5%88%E0%A4%B6%E0%A4%BE%E0%A4%B2%E0%A5%80-%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%B2%E0%A4%B9%E0%A5%8B%E0%A4%AE%E0%A5%8D%E0%A4%B8-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%87%E0%A4%B5%E0%A5%87%E0%A4%9F-%E0%A4%B2%E0%A4%BF%E0%A4%AE%E0%A4%BF%E0%A4%9F%E0%A5%87%E0%A4%A1-Vaishali-Realhomes-PvtLtd/100054247491269/
Satyam Real Estate,,Real estate agent,Abdalpur P O," Patna, Bihar","Abdalpur P O, P S Fatuha, Patna, Bihar 803201",
Shree Shyam City - Best Plot,082946 39536,Real estate service,Bundoh par," Patna, Bihar","Bundoh par, Ajimchak, Near Usha Martin School, Sampatchak, Patna, Bihar 800007",https://shreeshyamcity.com/
Aryan Sales,093341 07075,Home developer,Shri RAM Enterprises," Patna, Bihar","Shri RAM Enterprises, Khajekalan, City, Patna, Bihar 800008",
Sanatan Real Estate,,Real estate agent,61," Patna, Bihar","61, Pratppur, Sampatchek, Patna Sadar, 01, Patna, Bihar 800008",
Gider Real Estate,,Real estate agent,C/o Abdhesh Prasad Singh," Vaishali, Bihar","C/o Abdhesh Prasad Singh, Panch Vill -Chamarhara, Mahnar Road Rs, Mahnar, Vaishali, Bihar 844507",
Shri Vashi Homes Private Limited,082946 39536,Real estate service,Nathan Vihar Complex," Patna, Bihar","Nathan Vihar Complex, Road No 2, Bankman Colony, Kankarbagh, Patna, Bihar 800020",
Chulah Ghar & Real Estate Services,,Real estate agent,S/O Pradeep Singh Nuruddinganj PO-Madhomills Malslami Patna City," Patna, Bihar","S/O Pradeep Singh Nuruddinganj PO-Madhomills Malslami Patna City, Patna, Bihar 800008",
Property Solutions Point,090608 73219,Real estate agent,66," Patna, Bihar","66, 2nd Floor, Adharshila Complex, Near Rbi, South Gandhi Maidanpanta-1, Patna, Bihar, Bihar 800001",https://www.facebook.com/allindiaflat/
Shivram Property Dealer,093341 01171,Real estate service,Ramchandra Nagar," Patna New, Bihar","Ramchandra Nagar, Usfa, Gaurichak, Patna, Patna New, Bihar 803201",https://www.facebook.com/people/SHIVRAM-PROPERTY-DEALER/100063607369744/
Real Group of Companies,088897 86000,Real estate agent,201," Patna, Bihar","201, Park View Apartment, Near, Gandhi Maidan Rd, Salimpur Ahra, Golambar, Patna, Bihar",http://www.realgrpofcompanies.com/
Deep Property Dealer,,Real estate agent,Ground Floor," Patna, Bihar","Ground Floor, Nathupur Parsa Pilar Number 79, Phulwarisarif, Patna, Bihar 804453",
Vinita Kumari,,Real estate agent,2," Nalanda, Bihar","2, Yogipur, Yogipur Lane, Hilsa, Nalanda, Bihar 801302",
Laxmi Sarswati Real Estate Bawank,083407 03433,Real estate agent,Bawank," Patna, Bihar","Bawank, NH 83, Pthahi, Patna, Bihar 804453",
Landvihar Real Estate Services,,Construction services,Saryu Niwas," Jehanabad, Bihar","Saryu Niwas, Jehanabad, Bihar 804408",
Pooja Real Estate,,Real estate agent,Parwati Devi," Patna, Bihar","Parwati Devi, Mitra Mandal Colony, Phase\2, Patna, Bihar 800002",
Ajay Real Estate,,Real estate agent,Word No 14," Patna, Bihar","Word No 14, Devi Sthan Purani Bazar Masaurhi, Masaurhi, Patna, Bihar 804452",
a R Real Estate,,Real estate agent,Pothahi," Patna, Bihar","Pothahi, Pothahi Post Basuhar, Punpun, Patna, Bihar 804453",
Rkbihari Property and Construction,,Real estate agent,S/o Ganesh Bhagat," Patna, Bihar","S/o Ganesh Bhagat, Vill- Barawan, Chandasi, Punpun, Masaurhi, Patna, Bihar 804453",
Maa Lakshmi Property Dealer,,Real estate service,H/o Sanju Devi," Patna, Bihar","H/o Sanju Devi, C/o Sudhir Kumar, Pothi, Punpun, Masaurhi, Patna, Bihar 804453",
Deep Agency,,Real estate agent,25," Patna, Bihar","25, Ajeet Kumar, Rahimpur, Phulwari, Near Dakshineshwari Devi Mandi, Parsa Bazar, Patna, Bihar 804453",
Sundaram Properties,,Real estate service,Asha Market," Patna, Bihar","Asha Market, Adrash Colony, Dariyapur Road, Sipara Main Road, Near\royal Garden Marrage Hall, Patna, Bihar 804453",
Chankya Colony,093342 28652,Real estate service,Patna-Gaya Road," Patna, Bihar","Patna-Gaya Road, Near Maa Durga Mandir, Punpun, Patna, Bihar 804453",
Sheeal Tech Private Limited,,Real estate agent,Gola Rd," Patna, Bihar","Gola Rd, Vastu Ganga Colony, Vivek Vihar Colony, Patna, Bihar",http://www.buysellrentpatna.in/
Raghopur. Bihta,073740 93262,Home developer,Raghopur Bihta (Patna)," Bihta, Bihar","Raghopur Bihta (Patna), Bihta, Bihar 801103",
